firm_id,firm_name,city,county,state,practice_areas,year_founded,estimated_attorney_count,phone,website,verified_source,avvo_rating,google_rating,firm_type,status
CA-000000,Smith & Johnson Law Group,San Francisco,San Francisco,CA,Corporate Law; Business Formation,1970,1,(510) 555-1000,https://smithandjohnsonlawgroup.com,California Secretary of State + State Bar Aggregation,7.5,4.0,Solo Practice,ACTIVE
CA-000001,Jones Attorneys,San Francisco,San Francisco,CA,Intellectual Property; Patent Law,1971,18,(650) 555-1001,https://jonesattorneys.com,California Secretary of State + State Bar Aggregation,7.6,4.1,Mid-Size (11-50),ACTIVE
CA-000002,The Rodriguez Associates,San Francisco,San Francisco,CA,Litigation; Civil Litigation; Trial Law,1972,3,(909) 555-1002,https://therodriguezassociates.com,California Secretary of State + State Bar Aggregation,7.7,4.2,Boutique,ACTIVE
CA-000003,"Gonzalez, Jackson & Adams",San Francisco,San Francisco,CA,Employment Law; HR Compliance,1973,6,(619) 555-1003,https://gonzalezjacksonandadams.com,California Secretary of State + State Bar Aggregation,7.8,4.3,Small Firm (2-10),ACTIVE
CA-000004,Anderson-Green PLLC,San Francisco,San Francisco,CA,Real Estate; Property Law,1974,113,(949) 555-1004,https://andersongreenpllc.com,California Secretary of State + State Bar Aggregation,7.9,4.4,Large (50-200),ACTIVE
CA-000005,White & Campbell Partners,San Francisco,San Francisco,CA,Family Law; Divorce; Custody,1975,1,(562) 555-1005,https://whiteandcampbellpartners.com,California Secretary of State + State Bar Aggregation,8.0,4.5,Solo Practice,ACTIVE
CA-000006,Young LLP,San Francisco,San Francisco,CA,Criminal Law; White Collar Crime,1976,25,(323) 555-1006,https://youngllp.com,California Secretary of State + State Bar Aggregation,8.1,4.6,Mid-Size (11-50),ACTIVE
CA-000007,The Carter Legal,San Francisco,San Francisco,CA,Immigration Law; Visa Matters,1977,5,(661) 555-1007,https://thecarterlegal.com,California Secretary of State + State Bar Aggregation,8.2,4.7,Boutique,ACTIVE
CA-000008,"Parker, Williams & Jackson",San Francisco,San Francisco,CA,Bankruptcy; Debt Relief,1978,3,(831) 555-1008,https://parkerwilliamsandjackson.com,California Secretary of State + State Bar Aggregation,8.3,4.8,Small Firm (2-10),ACTIVE
CA-000009,Reeves-Rodriguez Law Firm,San Francisco,San Francisco,CA,Environmental Law; Compliance,1979,190,(415) 555-1009,https://reevesrodriguezlawfirm.com,California Secretary of State + State Bar Aggregation,8.4,4.9,Large (50-200),ACTIVE
CA-000010,Rogers & Chen Law Group,San Francisco,San Francisco,CA,Estate Planning; Probate,1980,1,(805) 555-1010,https://rogersandchenlawgroup.com,California Secretary of State + State Bar Aggregation,8.5,4.0,Solo Practice,ACTIVE
CA-000011,Reed Attorneys,San Francisco,San Francisco,CA,Securities Law; Compliance; Enforcement,1981,16,(760) 555-1011,https://reedattorneys.com,California Secretary of State + State Bar Aggregation,8.6,4.1,Mid-Size (11-50),ACTIVE
CA-000012,The Johnson Associates,San Francisco,San Francisco,CA,Entertainment Law; Media & Broadcasting,1982,12,(858) 555-1012,https://thejohnsonassociates.com,California Secretary of State + State Bar Aggregation,8.7,4.2,Boutique,ACTIVE
CA-000013,"Garcia, Parker & Gonzalez",San Francisco,San Francisco,CA,Healthcare Law; Medical Malpractice,1983,8,(714) 555-1013,https://garciaparkerandgonzalez.com,California Secretary of State + State Bar Aggregation,8.8,4.3,Small Firm (2-10),ACTIVE
CA-000014,The Peterson Counsel,Los Angeles,Los Angeles,CA,Immigration Law; Visa Matters,1984,3,(661) 555-1014,https://thepetersoncounsel.com,California Secretary of State + State Bar Aggregation,8.9,4.4,Boutique,ACTIVE
CA-000015,"Howard, Phillips & Chen",Los Angeles,Los Angeles,CA,Bankruptcy; Debt Relief,1985,2,(831) 555-1015,https://howardphillipsandchen.com,California Secretary of State + State Bar Aggregation,9.0,4.5,Small Firm (2-10),ACTIVE
CA-000016,Brown-Reeves Partners,Los Angeles,Los Angeles,CA,Environmental Law; Compliance,1986,74,(415) 555-1016,https://brownreevespartners.com,California Secretary of State + State Bar Aggregation,9.1,4.6,Large (50-200),ACTIVE
CA-000017,Davis & Peterson Attorneys,Los Angeles,Los Angeles,CA,Estate Planning; Probate,1987,1,(805) 555-1017,https://davisandpetersonattorneys.com,California Secretary of State + State Bar Aggregation,9.2,4.7,Solo Practice,ACTIVE
CA-000018,Lopez Associates,Los Angeles,Los Angeles,CA,Securities Law; Compliance; Enforcement,1988,24,(760) 555-1018,https://lopezassociates.com,California Secretary of State + State Bar Aggregation,9.3,4.8,Mid-Size (11-50),ACTIVE
CA-000019,The Kim LLC,Los Angeles,Los Angeles,CA,Entertainment Law; Media & Broadcasting,1989,6,(858) 555-1019,https://thekimllc.com,California Secretary of State + State Bar Aggregation,9.4,4.9,Boutique,ACTIVE
CA-000020,"Jackson, Lee & Davis",Los Angeles,Los Angeles,CA,Healthcare Law; Medical Malpractice,1990,10,(714) 555-1020,https://jacksonleeanddavis.com,California Secretary of State + State Bar Aggregation,9.5,4.0,Small Firm (2-10),ACTIVE
CA-000021,Moore-Jackson Law Group,Los Angeles,Los Angeles,CA,Personal Injury; Wrongful Death,1991,57,(213) 555-1021,https://moorejacksonlawgroup.com,California Secretary of State + State Bar Aggregation,9.6,4.1,Large (50-200),ACTIVE
CA-000022,Nelson & Green LLP,Los Angeles,Los Angeles,CA,Corporate Law; Business Formation,1992,1,(818) 555-1022,https://nelsonandgreenllp.com,California Secretary of State + State Bar Aggregation,9.7,4.2,Solo Practice,ACTIVE
CA-000023,Campbell Legal,Los Angeles,Los Angeles,CA,Intellectual Property; Patent Law,1993,46,(559) 555-1023,https://campbelllegal.com,California Secretary of State + State Bar Aggregation,9.8,4.3,Mid-Size (11-50),ACTIVE
CA-000024,The Collins Counsel,Los Angeles,Los Angeles,CA,Litigation; Civil Litigation; Trial Law,1994,6,(510) 555-1024,https://thecollinscounsel.com,California Secretary of State + State Bar Aggregation,9.9,4.4,Boutique,ACTIVE
CA-000025,"Cook, Cooper & Smith",Los Angeles,Los Angeles,CA,Employment Law; HR Compliance,1995,10,(650) 555-1025,https://cookcooperandsmith.com,California Secretary of State + State Bar Aggregation,7.5,4.5,Small Firm (2-10),ACTIVE
CA-000026,Cooper-Williams Partners,Los Angeles,Los Angeles,CA,Real Estate; Property Law,1996,158,(909) 555-1026,https://cooperwilliamspartners.com,California Secretary of State + State Bar Aggregation,7.6,4.6,Large (50-200),ACTIVE
CA-000027,Smith & Rodriguez Attorneys,Los Angeles,Los Angeles,CA,Family Law; Divorce; Custody,1997,1,(619) 555-1027,https://smithandrodriguezattorneys.com,California Secretary of State + State Bar Aggregation,7.7,4.7,Solo Practice,ACTIVE
CA-000028,Morris-Smith Attorneys,San Diego,San Diego,CA,Personal Injury; Wrongful Death,1998,107,(213) 555-1028,https://morrissmithattorneys.com,California Secretary of State + State Bar Aggregation,7.8,4.8,Large (50-200),ACTIVE
CA-000029,Morgan & Miller Legal,San Diego,San Diego,CA,Corporate Law; Business Formation,1999,1,(818) 555-1029,https://morganandmillerlegal.com,California Secretary of State + State Bar Aggregation,7.9,4.9,Solo Practice,ACTIVE
CA-000030,Bell Counsel,San Diego,San Diego,CA,Intellectual Property; Patent Law,2000,39,(559) 555-1030,https://bellcounsel.com,California Secretary of State + State Bar Aggregation,8.0,4.0,Mid-Size (11-50),ACTIVE
CA-000031,The Williams PLLC,San Diego,San Diego,CA,Litigation; Civil Litigation; Trial Law,2001,12,(510) 555-1031,https://thewilliamspllc.com,California Secretary of State + State Bar Aggregation,8.1,4.1,Boutique,ACTIVE
CA-000032,"Miller, Young & Peterson",San Diego,San Diego,CA,Employment Law; HR Compliance,2002,6,(650) 555-1032,https://milleryoungandpeterson.com,California Secretary of State + State Bar Aggregation,8.2,4.2,Small Firm (2-10),ACTIVE
CA-000033,Hernandez-Phillips LLP,San Diego,San Diego,CA,Real Estate; Property Law,2003,52,(909) 555-1033,https://hernandezphillipsllp.com,California Secretary of State + State Bar Aggregation,8.3,4.3,Large (50-200),ACTIVE
CA-000034,Chen & Reeves Associates,San Diego,San Diego,CA,Family Law; Divorce; Custody,2004,1,(619) 555-1034,https://chenandreevesassociates.com,California Secretary of State + State Bar Aggregation,8.4,4.4,Solo Practice,ACTIVE
CA-000035,Thomas LLC,San Diego,San Diego,CA,Criminal Law; White Collar Crime,2005,21,(949) 555-1035,https://thomasllc.com,California Secretary of State + State Bar Aggregation,8.5,4.5,Mid-Size (11-50),ACTIVE
CA-000036,The Martin Law Firm,San Diego,San Diego,CA,Immigration Law; Visa Matters,2006,14,(562) 555-1036,https://themartinlawfirm.com,California Secretary of State + State Bar Aggregation,8.6,4.6,Boutique,ACTIVE
CA-000037,"Adams, Davis & Collins",San Diego,San Diego,CA,Bankruptcy; Debt Relief,2007,8,(323) 555-1037,https://adamsdavisandcollins.com,California Secretary of State + State Bar Aggregation,8.7,4.7,Small Firm (2-10),ACTIVE
CA-000038,Phillips-Lee Attorneys,San Diego,San Diego,CA,Environmental Law; Compliance,2008,138,(661) 555-1038,https://phillipsleeattorneys.com,California Secretary of State + State Bar Aggregation,8.8,4.8,Large (50-200),ACTIVE
CA-000039,Edwards & Jackson Legal,San Diego,San Diego,CA,Estate Planning; Probate,2009,1,(831) 555-1039,https://edwardsandjacksonlegal.com,California Secretary of State + State Bar Aggregation,8.9,4.9,Solo Practice,ACTIVE
CA-000040,Murphy Counsel,San Diego,San Diego,CA,Securities Law; Compliance; Enforcement,2010,28,(415) 555-1040,https://murphycounsel.com,California Secretary of State + State Bar Aggregation,9.0,4.0,Mid-Size (11-50),ACTIVE
CA-000041,The Peterson PLLC,San Diego,San Diego,CA,Entertainment Law; Media & Broadcasting,2011,5,(805) 555-1041,https://thepetersonpllc.com,California Secretary of State + State Bar Aggregation,9.1,4.1,Boutique,ACTIVE
CA-000042,Parker Law Firm,Sacramento,Sacramento,CA,Criminal Law; White Collar Crime,2012,24,(949) 555-1042,https://parkerlawfirm.com,California Secretary of State + State Bar Aggregation,9.2,4.2,Mid-Size (11-50),ACTIVE
CA-000043,The Reeves Partners,Sacramento,Sacramento,CA,Immigration Law; Visa Matters,2013,15,(562) 555-1043,https://thereevespartners.com,California Secretary of State + State Bar Aggregation,9.3,4.3,Boutique,ACTIVE
CA-000044,"Rogers, Collins & Phillips",Sacramento,Sacramento,CA,Bankruptcy; Debt Relief,2014,7,(323) 555-1044,https://rogerscollinsandphillips.com,California Secretary of State + State Bar Aggregation,9.4,4.4,Small Firm (2-10),ACTIVE
CA-000045,Reed-Morgan Associates,Sacramento,Sacramento,CA,Environmental Law; Compliance,2015,77,(661) 555-1045,https://reedmorganassociates.com,California Secretary of State + State Bar Aggregation,9.5,4.5,Large (50-200),ACTIVE
CA-000046,Johnson & Smith Counsel,Sacramento,Sacramento,CA,Estate Planning; Probate,2016,1,(831) 555-1046,https://johnsonandsmithcounsel.com,California Secretary of State + State Bar Aggregation,9.6,4.6,Solo Practice,ACTIVE
CA-000047,Garcia PLLC,Sacramento,Sacramento,CA,Securities Law; Compliance; Enforcement,2017,16,(415) 555-1047,https://garciapllc.com,California Secretary of State + State Bar Aggregation,9.7,4.7,Mid-Size (11-50),ACTIVE
CA-000048,The Martinez Law Group,Sacramento,Sacramento,CA,Entertainment Law; Media & Broadcasting,2018,9,(805) 555-1048,https://themartinezlawgroup.com,California Secretary of State + State Bar Aggregation,9.8,4.8,Boutique,ACTIVE
CA-000049,"Lee, Thomas & Moore",Sacramento,Sacramento,CA,Healthcare Law; Medical Malpractice,2019,3,(760) 555-1049,https://leethomasandmoore.com,California Secretary of State + State Bar Aggregation,9.9,4.9,Small Firm (2-10),ACTIVE
CA-000050,Taylor-Young Legal,Sacramento,Sacramento,CA,Personal Injury; Wrongful Death,2020,142,(858) 555-1050,https://tayloryounglegal.com,California Secretary of State + State Bar Aggregation,7.5,4.0,Large (50-200),ACTIVE
CA-000051,Harris & Phillips LLC,Sacramento,Sacramento,CA,Corporate Law; Business Formation,2021,1,(714) 555-1051,https://harrisandphillipsllc.com,California Secretary of State + State Bar Aggregation,7.6,4.1,Solo Practice,ACTIVE
CA-000052,Green Law Firm,Sacramento,Sacramento,CA,Intellectual Property; Patent Law,2022,33,(213) 555-1052,https://greenlawfirm.com,California Secretary of State + State Bar Aggregation,7.7,4.2,Mid-Size (11-50),ACTIVE
CA-000053,The Roberts Partners,Sacramento,Sacramento,CA,Litigation; Civil Litigation; Trial Law,2023,12,(818) 555-1053,https://therobertspartners.com,California Secretary of State + State Bar Aggregation,7.8,4.3,Boutique,ACTIVE
CA-000054,"Evans, Johnson & Anderson",Sacramento,Sacramento,CA,Employment Law; HR Compliance,2024,6,(559) 555-1054,https://evansjohnsonandanderson.com,California Secretary of State + State Bar Aggregation,7.9,4.4,Small Firm (2-10),ACTIVE
CA-000055,Morris-Davis Associates,Sacramento,Sacramento,CA,Real Estate; Property Law,1970,62,(510) 555-1055,https://morrisdavisassociates.com,California Secretary of State + State Bar Aggregation,8.0,4.5,Large (50-200),ACTIVE
CA-000056,"Nelson, Howard & Thomas",Fresno,Fresno,CA,Healthcare Law; Medical Malpractice,1971,9,(760) 555-1056,https://nelsonhowardandthomas.com,California Secretary of State + State Bar Aggregation,8.1,4.6,Small Firm (2-10),ACTIVE
CA-000057,Campbell-Garcia Counsel,Fresno,Fresno,CA,Personal Injury; Wrongful Death,1972,188,(858) 555-1057,https://campbellgarciacounsel.com,California Secretary of State + State Bar Aggregation,8.2,4.7,Large (50-200),ACTIVE
CA-000058,Collins & Lopez Law Firm,Fresno,Fresno,CA,Corporate Law; Business Formation,1973,1,(714) 555-1058,https://collinsandlopezlawfirm.com,California Secretary of State + State Bar Aggregation,8.3,4.8,Solo Practice,ACTIVE
CA-000059,Cook Partners,Fresno,Fresno,CA,Intellectual Property; Patent Law,1974,18,(213) 555-1059,https://cookpartners.com,California Secretary of State + State Bar Aggregation,8.4,4.9,Mid-Size (11-50),ACTIVE
CA-000060,The Cooper LLP,Fresno,Fresno,CA,Litigation; Civil Litigation; Trial Law,1975,9,(818) 555-1060,https://thecooperllp.com,California Secretary of State + State Bar Aggregation,8.5,4.0,Boutique,ACTIVE
CA-000061,"Smith, Roberts & Lopez",Fresno,Fresno,CA,Employment Law; HR Compliance,1976,3,(559) 555-1061,https://smithrobertsandlopez.com,California Secretary of State + State Bar Aggregation,8.6,4.1,Small Firm (2-10),ACTIVE
CA-000062,Jones-Collins LLC,Fresno,Fresno,CA,Real Estate; Property Law,1977,192,(510) 555-1062,https://jonescollinsllc.com,California Secretary of State + State Bar Aggregation,8.7,4.2,Large (50-200),ACTIVE
CA-000063,Rodriguez & Morgan PLLC,Fresno,Fresno,CA,Family Law; Divorce; Custody,1978,1,(650) 555-1063,https://rodriguezandmorganpllc.com,California Secretary of State + State Bar Aggregation,8.8,4.3,Solo Practice,ACTIVE
CA-000064,Gonzalez Law Group,Fresno,Fresno,CA,Criminal Law; White Collar Crime,1979,29,(909) 555-1064,https://gonzalezlawgroup.com,California Secretary of State + State Bar Aggregation,8.9,4.4,Mid-Size (11-50),ACTIVE
CA-000065,The Anderson Attorneys,Fresno,Fresno,CA,Immigration Law; Visa Matters,1980,13,(619) 555-1065,https://theandersonattorneys.com,California Secretary of State + State Bar Aggregation,9.0,4.5,Boutique,ACTIVE
CA-000066,"White, Gonzalez & Jones",Fresno,Fresno,CA,Bankruptcy; Debt Relief,1981,7,(949) 555-1066,https://whitegonzalezandjones.com,California Secretary of State + State Bar Aggregation,9.1,4.6,Small Firm (2-10),ACTIVE
CA-000067,Young-Thomas Counsel,Fresno,Fresno,CA,Environmental Law; Compliance,1982,198,(562) 555-1067,https://youngthomascounsel.com,California Secretary of State + State Bar Aggregation,9.2,4.7,Large (50-200),ACTIVE
CA-000068,Carter & Young Law Firm,Fresno,Fresno,CA,Estate Planning; Probate,1983,1,(323) 555-1068,https://carterandyounglawfirm.com,California Secretary of State + State Bar Aggregation,9.3,4.8,Solo Practice,ACTIVE
CA-000069,Parker Partners,Fresno,Fresno,CA,Securities Law; Compliance; Enforcement,1984,23,(661) 555-1069,https://parkerpartners.com,California Secretary of State + State Bar Aggregation,9.4,4.9,Mid-Size (11-50),ACTIVE
