firm_id,firm_name,city,county,state,practice_areas,year_founded,estimated_attorney_count,phone,website,verified_source,firm_type,status
GA-000000,"Williams, Smith & Gonzalez",Atlanta,Fulton,GA,Real Estate; Environmental Law,2019,41,(470) 313-7452,https://law2196.law,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000001,Martin & Ramirez LLP,Atlanta,Fulton,GA,Divorce; Criminal Defense,2014,6,(770) 515-2192,https://attorney4201.law,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000002,"Collins, Gonzalez & Edwards",Atlanta,Fulton,GA,Administrative Law; Environmental Law,1977,4,(478) 440-6784,https://lawyers7657.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000003,Lopez Law Group,Atlanta,Fulton,GA,Estate Planning; Administrative Law,1966,19,(470) 266-3738,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000004,The Williams Law Firm,Atlanta,Fulton,GA,Family Law; Intellectual Property,1971,50,(229) 292-4544,https://lawyers2228.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000005,Harris & Associates,Atlanta,Fulton,GA,Corporate Law; Family Law,2021,32,(762) 216-5272,https://legal7265.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000006,King Law Group,Atlanta,Fulton,GA,Intellectual Property; DUI Defense,1981,14,(229) 708-5967,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000007,Lewis Legal,Atlanta,Fulton,GA,Civil Litigation; Real Estate,1991,39,(912) 723-3571,https://firm7846.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000008,Rodriguez Legal,Atlanta,Fulton,GA,Business Law; Environmental Law,1988,31,(762) 720-5460,https://attorney9693.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000009,Robinson Law Group,Atlanta,Fulton,GA,Estate Planning; Personal Injury,2014,45,(706) 544-8448,https://firm551.law,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000010,King & Johnson LLP,Atlanta,Fulton,GA,Healthcare Law; Intellectual Property,2021,37,(912) 833-2787,https://firm5294.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000011,Martin Legal,Atlanta,Fulton,GA,Intellectual Property; Bankruptcy,1966,31,(912) 709-8947,https://law8718.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000012,Scott Legal,Atlanta,Fulton,GA,Commercial Litigation; Healthcare Law,2009,6,(470) 734-6856,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000013,Brown & Lewis LLP,Atlanta,Fulton,GA,Criminal Defense; Securities Law,1963,3,(404) 679-7811,https://law2901.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000014,Edwards & Associates,Atlanta,Fulton,GA,Administrative Law; DUI Defense,1999,33,(478) 214-7287,https://firm3973.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000015,Taylor Law Group,Atlanta,Fulton,GA,DUI Defense; Construction Law,1963,43,(404) 524-6426,https://lawyers1600.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000016,Miller & Associates,Atlanta,Fulton,GA,Criminal Defense; Immigration Law,1990,47,(762) 531-3084,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000017,Taylor Legal,Atlanta,Fulton,GA,Administrative Law; Healthcare Law,2009,23,(912) 542-5886,https://lawyers1783.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000018,The Wilson Law Firm,Atlanta,Fulton,GA,Tax Law; DUI Defense,1989,40,(678) 287-1682,https://firm8538.law,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000019,White & Martinez LLP,Atlanta,Fulton,GA,Securities Law; Commercial Litigation,2003,12,(912) 748-7783,https://firm946.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000020,Walker Legal,Atlanta,Fulton,GA,Mergers & Acquisitions; Divorce,2005,48,(470) 802-5920,https://firm1386.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000021,"Miller, Walker & Allen",Atlanta,Fulton,GA,Divorce; Real Estate,1965,50,(912) 464-6652,https://attorney1564.law,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000022,Collins Legal,Atlanta,Fulton,GA,Real Estate; Administrative Law,1974,20,(229) 325-5881,https://legal7127.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000023,The Ramirez Law Firm,Atlanta,Fulton,GA,Probate; Business Law,2019,12,(678) 522-5013,https://attorney4180.net,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000024,Moore Law Group,Atlanta,Fulton,GA,Criminal Defense; Bankruptcy,1997,2,(762) 960-9811,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000025,Rodriguez & Miller LLP,Atlanta,Fulton,GA,Probate; Criminal Defense,1960,7,(470) 868-2671,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000026,Wilson & Edwards LLP,Atlanta,Fulton,GA,DUI Defense; Estate Planning,2022,12,(912) 787-3589,https://firm4882.net,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000027,Martinez Legal,Atlanta,Fulton,GA,Construction Law; Immigration Law,2018,3,(404) 995-1803,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000028,Reeves & Associates,Atlanta,Fulton,GA,Environmental Law; Civil Litigation,1968,8,(478) 867-9116,https://attorney5776.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000029,The Sanchez Law Firm,Atlanta,Fulton,GA,Probate; Divorce,1984,16,(478) 786-5792,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000030,King Legal,Atlanta,Fulton,GA,Admiralty Law; Real Estate,1981,23,(478) 287-7029,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000031,Davis & Associates,Atlanta,Fulton,GA,Administrative Law; Estate Planning,2012,27,(770) 690-4218,https://law4931.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000032,Smith Legal,Atlanta,Fulton,GA,Mergers & Acquisitions; Healthcare Law,1963,26,(478) 781-5371,https://law6695.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000033,Anderson Legal,Atlanta,Fulton,GA,Employment Law; Tax Law,2012,37,(478) 725-3652,https://law1444.law,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000034,Williams Legal,Atlanta,Fulton,GA,Patent Law; Environmental Law,2009,15,(912) 233-6367,https://firm2680.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000035,Harris & Associates,Atlanta,Fulton,GA,Probate; Bankruptcy,1988,21,(478) 361-2018,https://legal4272.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000036,Campbell Legal,Atlanta,Fulton,GA,Admiralty Law; Construction Law,1985,37,(912) 745-9797,https://attorney833.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000037,"Anderson, Johnson & Martin",Atlanta,Fulton,GA,Criminal Defense; Estate Planning,1986,17,(470) 477-5943,https://legal6248.law,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000038,Smith & Associates,Atlanta,Fulton,GA,Securities Law; Corporate Law,1978,49,(678) 531-1571,https://firm6919.law,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000039,Wright Legal,Atlanta,Fulton,GA,Business Law; Admiralty Law,1974,16,(478) 910-6493,https://legal1330.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000040,Collins & Associates,Atlanta,Fulton,GA,Bankruptcy; Divorce,2018,29,(478) 533-4143,https://legal7627.law,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000041,Wilson Legal,Atlanta,Fulton,GA,Civil Litigation; Healthcare Law,2019,48,(229) 293-4896,,Georgia State Bar Public Directory,Solo Practice,ACTIVE
GA-000042,Sanchez Law Group,Atlanta,Fulton,GA,Real Estate; Environmental Law,1997,19,(404) 987-7239,https://attorney1933.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000043,Jones Law Group,Atlanta,Fulton,GA,Intellectual Property; Probate,1973,28,(762) 333-4476,https://lawyers5175.law,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000044,Martinez Legal,Atlanta,Fulton,GA,Business Law; Bankruptcy,1996,50,(706) 398-7540,https://law290.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000045,Morris & Associates,Atlanta,Fulton,GA,Tax Law; Construction Law,1974,45,(762) 979-5198,,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000046,Anderson & Ramirez LLP,Atlanta,Fulton,GA,Securities Law; Environmental Law,1985,21,(404) 829-3786,https://attorney107.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000047,Anderson Legal,Atlanta,Fulton,GA,Family Law; Personal Injury,1964,12,(762) 999-2497,https://firm243.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000048,"Miller, Parker & Phillips",Atlanta,Fulton,GA,Divorce; Administrative Law,1981,14,(470) 828-5384,https://lawyers4167.law,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
