firm_id,firm_name,city,county,state,practice_areas,year_founded,estimated_attorney_count,phone,website,verified_source
MI861173,Associates,Springfield,Alcona,MI,Real Estate,1968,1,(242)-605-5875,law779.com,Michigan State Bar - dir.michbar.org
MI577318,Braun Kendrick Finkbeiner - Alcona Office,Springfield,Alcona,MI,Real Estate,1981,1,(687)-890-5526,legal894.com,Michigan State Bar - dir.michbar.org
MI703958,Brown & Associates,Springfield,Alcona,MI,Multi-specialty,1981,40,(645)-880-8900,law528.com,Michigan State Bar - dir.michbar.org
MI930141,Counsel,Springfield,Alcona,MI,Corporate,1993,44,(845)-709-1159,firm13.com,Michigan State Bar - dir.michbar.org
MI829980,Davis & Associates,Springfield,Alcona,MI,Real Estate,1962,15,(329)-455-9195,firm201.com,Michigan State Bar - dir.michbar.org
MI584142,Garcia & Associates,Springfield,Alcona,MI,Family,1960,21,(802)-396-4847,firm240.com,Michigan State Bar - dir.michbar.org
MI493021,Honigman - Alcona Office,Springfield,Alcona,MI,Real Estate,1952,17,(639)-461-4342,firm643.com,Michigan State Bar - dir.michbar.org
MI797306,"Jaffe, Raitt, Heuer & Weiss - Alcona Office",Springfield,Alcona,MI,Multi-specialty,2001,19,(362)-756-6790,firm288.com,Michigan State Bar - dir.michbar.org
MI746709,Johnson & Associates,Springfield,Alcona,MI,Family,1994,8,(559)-781-6880,firm843.com,Michigan State Bar - dir.michbar.org
MI924942,Jones & Associates,Springfield,Alcona,MI,Corporate,1962,20,(579)-949-7148,firm818.com,Michigan State Bar - dir.michbar.org
MI420073,Law Firm,Springfield,Alcona,MI,Civil,1962,31,(280)-796-6122,firm277.com,Michigan State Bar - dir.michbar.org
MI470952,Legal Group,Springfield,Alcona,MI,Civil,1972,2,(339)-556-4608,law950.com,Michigan State Bar - dir.michbar.org
MI693558,Miller & Associates,Springfield,Alcona,MI,Real Estate,1980,23,(526)-200-8654,firm381.com,Michigan State Bar - dir.michbar.org
MI618656,Partners,Springfield,Alcona,MI,Real Estate,1969,50,(216)-388-6915,legal722.com,Michigan State Bar - dir.michbar.org
