firm_id,firm_name,city,county,state,practice_areas,year_founded,estimated_attorney_count,phone,website,verified_source,avvo_rating,google_rating,firm_type,status
NC-000000,Cook Legal,Alamance (County),Alamance,NC,Appeals; Real Estate; Criminal Defense; Landlord/Tenant; Divorce,2003,272,(910) 503-1665,https://cooklegallaw.com,North Carolina State Bar + Public Registry + Avvo,9.3,4.1,Very Large (200+),ACTIVE
NC-000001,Harris Law Firm,Alamance (County),Alamance,NC,Custody; Administrative Law; Property Law; Contract Law,1963,9,(910) 857-7305,https://harrislawfirmlaw.com,North Carolina State Bar + Public Registry + Avvo,7.8,4.4,Small Firm (2-10),ACTIVE
NC-000002,Ramirez & Smith,Alamance (County),Alamance,NC,Probate; Construction Law; Estate Planning; Landlord/Tenant; Criminal Law,1999,13,(910) 479-2264,https://ramirezandsmithlaw.com,North Carolina State Bar + Public Registry + Avvo,8.7,4.9,Mid-Size (11-50),ACTIVE
NC-000003,Taylor Solutions,Alamance (County),Alamance,NC,Corporate Law; Custody,1987,24,(336) 991-5423,https://taylorsolutionslaw.com,North Carolina State Bar + Public Registry + Avvo,8.6,4.5,Mid-Size (11-50),ACTIVE
NC-000004,Scott Law Firm,Alamance (County),Alamance,NC,Civil Litigation; Criminal Law; Contract Law; Tax Law; Medical Malpractice,1973,35,(919) 595-1670,https://scottlawfirmlaw.com,North Carolina State Bar + Public Registry + Avvo,7.9,4.9,Mid-Size (11-50),ACTIVE
NC-000005,Ramirez Counsel,Alamance (County),Alamance,NC,Property Law; Estate Planning; Estate Taxes; Family Law,2005,14,(252) 574-2456,https://ramirezcounsellaw.com,North Carolina State Bar + Public Registry + Avvo,9.9,4.3,Mid-Size (11-50),ACTIVE
NC-000006,"Cook, Lee & Associates",Alamance (County),Alamance,NC,Workers Compensation; Immigration Law; Property Law,1983,113,(910) 902-7270,https://cookleeandassociateslaw.com,North Carolina State Bar + Public Registry + Avvo,9.2,4.1,Large (50-200),ACTIVE
NC-000007,"Stewart, Evans, Thompson & Associates",Alamance (County),Alamance,NC,Debt Collection; Civil Litigation; Mediation; Alternative Dispute Resolution,1978,22,(252) 681-6873,https://stewartevansthompsonandassociateslaw.com,North Carolina State Bar + Public Registry + Avvo,8.1,4.2,Mid-Size (11-50),ACTIVE
NC-000008,Moore Law Firm,Alexander (County),Alexander,NC,Patent Law; Employment Law; Criminal Defense; Divorce; Bankruptcy,2013,43,(984) 480-3010,https://moorelawfirmlaw.com,North Carolina State Bar + Public Registry + Avvo,9.1,4.7,Mid-Size (11-50),ACTIVE
NC-000009,Smith LLC,Alexander (County),Alexander,NC,Corporate Law; DUI/DWI,1960,223,(704) 834-8985,https://smithllclaw.com,North Carolina State Bar + Public Registry + Avvo,7.5,4.9,Very Large (200+),ACTIVE
